idh,idp,y,x,top,bot,cec,oc,w_hue,w_value,w_chroma,d_hue,d_value,d_chroma,bsat
1290,530,-34.12193,-59.75893,10,18,22.5,1.87,10YR,3,1,NA,NA,NA,91.1111111111111
1291,530,-34.12193,-59.75893,18,32,22.8,1.42,10YR,2,1,NA,NA,NA,97.3684210526316
1296,531,-34.09643,-59.82332,0,22,20,1.25,10YR,3,3,10YR,5,2,89
1297,531,-34.09643,-59.82332,22,31,17.3,1.15,10YR,3.5,2,10YR,4.5,2,90.1734104046243
1303,532,-34.08855,-59.97006,0,28,24.8,1.95,10YR,3,2,10YR,4,2,92.3387096774193
1307,533,-34.02333,-59.86313,0,20,25.8,1.62,10YR,2,2,NA,NA,NA,91.4728682170543
1308,533,-34.02333,-59.86313,20,39,25.7,0.47,7.5YR,3,2,NA,NA,NA,96.4980544747082
1312,534,-34.13092,-59.61477,0,15,21.5,2.39,10YR,3,2,NA,NA,NA,89.3023255813954
1313,534,-34.13092,-59.61477,15,30,22.7,1.51,10YR,2,2,NA,NA,NA,74.8898678414097
1320,535,-34.11336,-59.64196,0,17,23.1,2.34,10YR,3,2,10YR,2,2,74.025974025974
1321,535,-34.11336,-59.64196,17,40,22.1,1.49,10YR,3,2,NA,NA,NA,79.185520361991
1328,536,-34.01059,-59.56864,0,15,24.7,2.46,10YR,3,1,10YR,3,3,97.165991902834
1329,536,-34.01059,-59.56864,15,30,24.6,1.69,10YR,3,1,NA,NA,NA,98.7804878048781
1336,537,-34.09555,-60.23164,0,13,25,1.89,10YR,3,1,10YR,5,2,80.4
1337,537,-34.09555,-60.23164,13,29,25.3,1.61,10YR,3,1,NA,NA,NA,80.2371541501976
1344,538,-34.03202,-59.65497,0,15,25.7,1.87,10YR,3,2,10YR,4,2,73.1517509727627
1345,538,-34.03202,-59.65497,15,27,27,1.49,10YR,2,1,10YR,3,2,78.8888888888889
1352,539,-34.31818,-59.78598,0,16,21.7,1.69,10YR,3,2,10YR,5,1,100
1353,539,-34.31818,-59.78598,16,40,39.2,0.65,10YR,2,2,NA,NA,NA,100
1358,540,-34.25709,-59.92748,0,8,20.7,2.36,10YR,4,1,10YR,6,1,89.3719806763285
1359,540,-34.25709,-59.92748,8,16,22.7,1.28,10YR,3,1,10YR,5,1,89.4273127753304
1360,540,-34.25709,-59.92748,16,25,24.6,1.05,10YR,3,1,10YR,4,1,89.4308943089431
1367,541,-34.26019,-59.92147,0,15,26.9,2,10YR,3,2,10YR,5,2,75.092936802974
1368,541,-34.26019,-59.92147,15,30,22.6,1.84,10YR,3,2,10YR,4,1.5,69.0265486725664
1376,542,-34.31806,-60.74559,0,30,NA,NA,10YR,2,1,NA,NA,NA,NA
1382,543,-34.04782,-60.23586,0,15,28.7,2.52,10YR,3,2,10YR,6,4.5,79.7909407665505
1383,543,-34.04782,-60.23586,15,45,21.7,1.1,10YR,3,3,10YR,5.5,2,85.2534562211982
1394,545,-34.26772,-59.98663,0,10,23.4,2.26,NA,NA,NA,NA,NA,NA,85.4700854700855
1395,545,-34.26772,-59.98663,10,25,22.5,2.14,10YR,2,1,NA,NA,NA,80
1407,549,-34.11057,-59.63046,0,12,23.6,2.02,NA,NA,NA,NA,NA,NA,75
1408,549,-34.11057,-59.63046,12,30,25.2,1.08,NA,NA,NA,NA,NA,NA,85.7142857142857
1414,550,-34.2196,-59.61253,0,16,22.2,2.3,10YR,2,2,NA,NA,NA,81.981981981982
1415,550,-34.2196,-59.61253,16,28,22.9,1.7,10YR,2,2,NA,NA,NA,92.5764192139738
1436,552,-34.04322,-60.21465,0,15,18.1,1.36,10YR,3,2,10YR,5,4,86.1878453038674
